IDENTIFIANT_BATIMENT,NOM_HISTORIQUE ,TYPOLOGIE_SPECIFIQUE,CIVIQUE_MIN,CIVIQUE,TYPE_DE_VOIE,CIVIQUE_MAX,LIEN,VOIE,EST_OUEST,ARRONDISSEMENT,HISTORIQUE_SOMMAIRE ,DEBUT_DES_TRAVAUX,FIN_DES_TRAVAUX,CENTRO_X,CENTRO_Y
0040-52-2542-01,Magasin-entrepôt William-Murray,magasin-entrepôt,100,100-104,rue,104,,Saint-Paul,Ouest,Ville-Marie (Montréal),"Propriétaire depuis quelques années d’une maison-magasin située sur ce terrain, William Murray la voit partir en fumée lors de l’incendie de juin 1852 dans le secteur de la Place Royale. Il fait aussitôt construire un magasin-entrepôt de trois étages qui accueille ses premiers occupants en 1853. La propriété demeure aux mains du constructeur et de sa famille jusqu’en 1934.

Les premiers locataires sont Damase Masson & Co., épiciers en gros, qui occupe la section ouest du bâtiment jusqu’en 1862, et Walter Macfarlane, un marchand en gros de tissus (<i>clothier</i>) qui est  présent dans la section est jusqu’en 1867. À partir de 1867, l’unité ouest accueille les papetiers Angus Logan & Co., société qui donnera naissance à la Canada Paper Co. Ltd. en 1874. L’entreprise occupera l’ensemble du magasin-entrepôt jusqu’au début des années 1880.

La prochaine étape dans l’histoire du bâtiment s’effectue sous le signe de l’industrie pharmaceutique. De 1890 jusqu’à la fin des années 1920, la famille Lyman, déjà présente dans les deux bâtiments voisins, étend ses activités de vente en gros de produits pharmaceutiques à ce magasin-entrepôt. Connue alors sous la raison sociale de Lyman Knox & Co., l’entreprise occupe la totalité de la partie est et les étages supérieurs de l’unité voisine. Le rez-de-chaussée est occupée par un autre fabricant de produits pharmaceutiques de 1900 jusqu’aux alentours de 1920. C’est vraisemblablement à cette époque que le toit en pente d’origine est remplacé par une mansarde. De la fin des années 1920 jusqu’en 1964, le Laboratoire Nadeau Ltée s’établit au 100 St-Paul O.; il devient également propriétaire du bâtiment en 1945. 

L’immeuble connaît une vocation mixte de la fin des années 1960 jusqu’au début du XXIe siècle : commerce et fabrication cohabitent puis cèdent la place à la restauration. D’importants travaux de rénovation entrepris en 2001 permettent l’intégration de ce bâtiment et de son voisin; les deux magasins-entrepôts deviennent alors l’Hôtel Nelligan. 
",1852,1853,-73.5543,45.5042
0040-52-2542-02,Magasin-entrepôt William-Cormack,magasin-entrepôt,110,110-112,rue,112,,Saint-Paul,Ouest,Ville-Marie (Montréal),"Au cours de l’important incendie de juin 1852 dans le secteur de la Place Royale, la maison-magasin de William Cormack est détruite. Il procède aussitôt à la construction d’un nouveau magasin-entrepôt de trois étages qui accueille ses premiers occupants au printemps 1853. Les deux espaces locatifs seront occupés, pendant plusieurs années, par les locataires de l’ancien bâtiment: les commerçants Cumming & Galbraith et la société Archibald Laurie & Co.,  marchands de tissus et d’étoffes (<i>dry goods</i>). 

À partir de 1866, le destin du bâtiment est étroitement lié à l’entreprise pharmaceutique de la famille Lyman. Il est alors acheté par Henry et Benjamin Lyman afin d’accroître l’espace dont dispose leur firme, Lyman Clare & Co., installée au 116 St-Paul O. depuis 1855. L’entreprise occupe d’abord l’unité contiguë au 116, avant de s’étendre, en 1885, à l’ensemble du magasin-entrepôt; vers 1890, elle occupera aussi l’immeuble voisin, au coin de la rue Saint-Sulpice. La prospérité de l’entreprise et sa quête d’espace expliquent sans doute la transformation que connaît le bâtiment vers 1885 avec l’ajout de deux étages à l’unité ouest et d’un étage à l’unité est. L’uniformisation des deux unités aurait eu lieu entre 1890 et 1912. Devenue Lyman Sons & Co., puis Lyman Knox & Co., l’entreprise établit ainsi un véritable complexe sur la rue Saint-Paul où logent ses bureaux, ses laboratoires et ses entrepôts.

Au début du XXe siècle, la famille Lyman quitte le bâtiment qui est racheté en 1922 par les pharmaciens McEwen & Cameron Ltd. Ces derniers occupent une partie du bâtiment jusqu’en 1943, avant de le vendre à leur tour au Laboratoire Nadeau, qui s’installe sur les lieux et dans l’immeuble immédiatement à l’est jusqu’en 1964. La fonction pharmaceutique caractérise donc ce bâtiment pendant un siècle.

De la fin des années 1960 jusqu’en 2000, l’immeuble connaît une vocation différente et plus hétérogène, alors que des commerces s’installent au rez-de-chaussée et les étages accueillent de petites entreprises et des bureaux. En 2001-2002, d’importants travaux de rénovation permettent l’intégration de ce bâtiment et de son voisin; les deux anciens magasins-entrepôts deviennent alors l’Hôtel Nelligan. 

",1852,1853,-73.5543,45.504
0040-52-2675-00,Édifice London House Coffee,magasin-entrepôt,90,90,rue,90,,Saint-Paul,Ouest,Ville-Marie (Montréal),"Peter Charles Larkin, propriétaire de la Salada Tea Co., achète en 1910, de Marie-Louise et Marie-Malvina Généreux, un immeuble qu'il occupe déjà depuis 1895. Il y a en effet ouvert la succursale montréalaise de son entreprise d'importation et de transformation de thé. Après l'achat, Larkin procède à la démolition du bâtiment de pierre qui y était érigé et fait construire en 1911 un magasin-entrepôt de même dimension au sol, mais plus élevé (cinq étages) et plus solide (béton renforcé). La façade est en pierres de taille et l'entrée principale est construite en angle au coin des rues Saint-Paul et Saint-Sulpice.

Le premier et seul locataire de l'immeuble pendant plus de 10 ans est la Salada Tea Co. Les bureaux se trouvent au rez-de-chaussée et les entrepôts et les salles de mélange et d'emballage sont répartis sur les étages supérieurs.

En 1920, Larkin vend la propriété à son entreprise, la Salada Tea Co. of Canada, qui quitte les lieux durant la décennie. L'immeuble est vendu à une autre compagnie de thé, montréalaise cette fois-ci : la London House Products Ltd. Propriétaire et seule occupante des lieux pendant près de 45 ans, la London House Products Ltd s'allie en 1984 au groupe Aliments Unigesco Inc. à la suite de fusions d'entreprises. Le magasin-entrepôt est vendu deux ans plus tard, puis transformé en immeuble de bureaux. 

",1911,1912,-73.5543,45.5044
0040-52-4206-00,Magasin-entrepôt Frederick-Francis-Mullins,magasin-entrepôt,121,121-123,rue,123,de la,Commune,Ouest,Ville-Marie (Montréal),,1853,,-73.5541,45.5038
0040-52-4821-00,Immeuble Francis-Mullins,non applicable,109,109-119,rue,119,de la,Commune,Ouest,Ville-Marie (Montréal),,1852,1853,-73.554,45.5039
0040-52-4891-01,Magasin-entrepôt Racine,magasin-entrepôt,60,60,rue,60,,Saint-Paul,Ouest,Ville-Marie (Montréal),"En avril 1885, George B. Burland fait l'acquisition d'un lot dans le quartier Centre auprès du shérif du district de Montréal. On y trouve alors un magasin sur la rue Saint-Paul datant de 1859 et un entrepôt sur la rue des Commissaires. Ces bâtiments sont réduits en cendres lors d'un incendie en mars 1886. Burland commande peu après la construction d'un magasin-entrepôt de quatre étages à l'architecte John James Brown. Le bâtiment est complété à la fin de 1886 ou au début de 1887. 

Le magasin-entrepôt est d'abord loué à la R. Henry Holland & Co., un grossiste de &laquo;&nbsp;nouveautés&nbsp;&raquo; (<i>fancy goods</i>) qui vend entre autres des jouets, des objets de porcelaine, de la papeterie et des articles de toilette. En 1893, il est remplacé par le marchand Alphonse Racine, un grossiste de tissus et d'articles de mercerie (<i>dry goods</i>) qui occupait jusque-là l'immeuble voisin (magasin-entrepôt Esprit-Généreux). Burland vend le bâtiment à son locataire en 1900. Pour la compagnie d'Alphonse Racine, il s'agit de la première d'une série d'acquisitions immobilières dans ce quadrilatère.

La compagnie Alphonse Racine ltée utilise le bâtiment jusqu'en 1933, année où elle fusionne avec deux autres compagnies pour former la firme Greenshields, Hodgson, Racine Limited. Cette compagnie occupe le magasin-entrepôt jusqu'à la fin des années 1960. En 2003-2004, l'immeuble est recyclé en condominiums. 
",1886,1887,-73.5539,45.5047
0040-52-4891-03,Magasin-entrepôt Alexandre-Roy,magasin-entrepôt,66,66,rue,66,,Saint-Paul,Ouest,Ville-Marie (Montréal),"En 1853, la maison Galarneau et Roy, des marchands de <i>dry goods</i> (tissus, articles de mercerie et produits divers), acquiert du shérif de Montréal une propriété sur laquelle on retrouve une maison. Selon toute vraisemblance, on démolit la maison au début de l'année suivante puis on entame peu après la construction d'un magasin-entrepôt de trois étages. Le bâtiment aurait été terminé dès l'été 1854. 

En 1854-1855, l'immeuble est occupé par l'encanteur Jean Dominique Bernard et des grossistes en quincaillerie. Galarneau et Roy vendent l'immeuble dès 1858 à Alexandre Roy, un marchand de la paroisse de Saint-Joseph-de-Soulanges. Dans les années 1860, Roy loue des locaux aux marchands et manufacturiers de papier Angus, Logan and Company, les lointains ancêtres de la compagnie Domtar.

En 1919, on agrandit considérablement l'immeuble en y ajoutant deux étages. À cette époque, le magasin-entrepôt Alexandre Roy est littéralement encerclé par les bâtiments du grossiste de tissus et d'articles de mercerie (<i>dry goods</i>) Alphonse Racine ltée. La succession Roy finit d'ailleurs par leur céder l'immeuble en 1928. En 1933, Alphonse Racine ltée fusionne avec deux autres compagnies pour former Greenshields, Hodgson, Racine Limited. Cette firme occupe l'immeuble jusqu'à la fin des années 1960. En 2003-2004, le magasin-entrepôt est recyclé en copropriétés.",1854,,-73.5542,45.5046
0040-52-4891-05,"Entrepôt Greenshields, Hodgson, Racine Ltd.",non applicable,65,65-71,rue,71,de la,Commune,Ouest,Ville-Marie (Montréal),"En 1933, les compagnies Greenshields Ltd., Hodgson, Sumner & Co. et A. Racine ltée se fusionnent.  Ces importantes entreprises de commerce en gros dans le domaine des tissus et de la mercerie occupent alors plusieurs édifices situés dans le quadrilatère compris entre les rues Saint-Dizier, Saint-Sulpice, Saint-Paul et des Commissaires - l’actuelle rue de la Commune - dont le 65 de la rue de la Commune.  

Le 6 mars 1963 à 20h 30, un violent incendie se déclare à cet endroit en pleine tempête de neige. Les 200 pompiers qui se rendent sur les lieux ont peine à se frayer un chemin, les camions se déplaçant avec difficulté dans les rues enneigées de Montréal.  L’incendie fait rage jusqu’à l’aube du 7 mars. Bien que les pompiers prennent toutes les précautions pour éviter que le feu ne se propage aux édifices voisins, ils ne pourront éviter que cet immeuble de la compagnie Greenshields, Hodgson, Racine Ltd. ne soit complètement détruit.  Les pertes sont estimées à 5 millions de dollars. 

La compagnie Greenshields, Hodgson et Racine Ltd. s’empresse de reconstruire cet édifice, qui date probablement du milieu XIXe siècle, en lui conservant l’allure de l’ancien bâtiment. On lui redonne un volume identique, on y reproduit le même nombre et la même dimension des anciennes ouvertures.  Le recouvrement extérieur est de pierre comme pour le bâtiment incendié. On s’assure cependant que la structure en blocs de ciment soit à l’épreuve du feu.  Moins d’un an après l’incendie de mars 1963, la compagnie entre dans le nouvel édifice dont l'apparence est assez proche de celle de l’ancien bâtiment incendié.
",1963,,-73.5539,45.5044
0040-52-5540-00,Immeuble Jean-Louis-Beaudry,indéterminé,101,101-105,rue,105,de la,Commune,Ouest,Ville-Marie (Montréal),"Copropriétaire depuis 1863 d’une auberge sise sur cet emplacement, Jean-Louis Beaudry rachète les parts de son associé et, en 1866, fait construire un immeuble de quatre étages, conçu par l’architecte Michel Laurent.

Il s'agit d'un bâtiment à l’occupation complexe où prédominent les fonctions de commerce et de bureau. La vocation du bâtiment est étroitement liée aux activités portuaires. Au moment de la construction, il y a quatre unités locatives au rez-de-chaussée, deux au sous-sol et dix unités aux étages, que des regroupements progressifs feront chuter à quatre. Au rez-de-chaussée, les premiers occupants sont les marchands de grains Louis Tourville et Joël Leduc; on y retrouve aussi le Bureau d’émigration ainsi que la compagnie Whitehall Transportation Co. Parmi les autres locataires d’origine, on note le marchand Thomas Hancock à l'étage au-dessus; le propriétaire, Jean-Louis Beaudry, y réserve également un espace pour son bureau. 

De sa construction jusqu’en 1880, le bâtiment éprouve de la difficulté à trouver des occupants stables aux étages supérieurs, mais le rez-de-chaussée et le deuxième connaissent un meilleur sort. Par exemple, certains de ces espaces sont occupés par Carbray & Routh, <i>lumber and shipping merchants</i>, entre 1871 et 1905 environ et par la Quebec Gulf Ports Steamship Co. entre 1872 et 1890 environ. Dès cette époque, les activités portuaires et maritimes jouent un rôle important dans l’évolution du bâtiment. À partir de 1900 et tout au long du XXe siècle, la fonction de bureau domine dans le magasin-entrepôt, où on retrouve aussi quelques espaces d’habitation. Depuis 1950, l’entreprise D. Cameron & Fils Inc., inspecteurs de cargaison et peseurs, occupe une partie de l'immeuble, qu'elle a acquis. 
",1866,,-73.5539,45.5041
0040-53-0844-00,Magasins de l'Hôtel-Dieu I,magasin-entrepôt,45,45-83,rue,83,,Saint-Paul,Ouest,Ville-Marie (Montréal),"Les Religieuses hospitalières de Saint-Joseph font construire cet immeuble en 1861 sur le site de leur ancien hôpital, détruit en 1860. Le bâtiment, oeuvre de l'architecte Victor Bourgeau, comprend six des dix magasins-entrepôts conçus lors de la première phase de construction des magasins de l'Hôtel-Dieu. 

L’immeuble est à peine terminé qu’on lui trouve une vocation inusitée. Par crainte d’un nouveau conflit avec ses voisins du sud &#8211; la guerre civile fait rage aux États-Unis &#8211; le gouvernement du Canada-Uni réquisitionne plusieurs bâtiments pour loger les troupes, dont la presque totalité des magasins de l’Hôtel-Dieu. Ils portent dès lors le nom de <i>Victoria Barracks</i>. 

Les troupes britanniques demeurent sur les lieux jusqu’en 1870. Les militaires partis, le manufacturier de chaussures Canadian Rubber Co. s’installe dans un magasin-entrepôt, tandis que deux autres unités sont louées à John L. Cassidy, un importateur de vaisselle, de porcelaine et de faïence (<i>china, glass, earthenware</i>). Entre 1907 et 1909, les Hospitalières font ajouter trois étages aux quatre unités de la partie ouest de l’immeuble. En 1914, on entame les mêmes travaux de rehaussement sur les deux magasins-entrepôts accolés à la rue Saint-Dizier. Les travaux terminés, la maison Cassidy’s occupe la presque totalité de l’immeuble. En 1963, après presque 100 ans d’occupation du bâtiment, elle en fait l’acquisition. 

Au milieu des années 1970, le projet des cours le Royer prend forme alors que des promoteurs proposent de recycler une bonne partie des magasins-entrepôts de l'Hôtel-Dieu en copropriétés résidentielles et commerciales. En 1977, la maison Cassidy’s vend ainsi l'immeuble à la Société immobilière des cours Le Royer, laquelle procède à sa transformation en copropriétés en 1981. La réussite du premier projet de ce genre dans le Vieux-Montréal fera école.",1861,,-73.5545,45.505
0040-53-2284-00,Magasins de l'Hôtel-Dieu V,magasin-entrepôt,405,405-411,rue,411,,Saint-Dizier,,Ville-Marie (Montréal),"En 1873, les Religieuses hospitalières de Saint-Joseph mandatent l’architecte Albert Mesnard, un  employé du bureau de l’architecte Henri-Maurice Perrault,  pour la conception de cet immeuble qui comprend trois magasins-entrepôts mitoyens. Complété en 1874, il fait partie de la troisième et dernière phase de construction des magasins de l’Hôtel-Dieu, laquelle comprend onze autres unités réalisées par  Henri-Maurice Perrault.

En 1874, les Hospitalières louent l’immeuble aux grossistes en alimentation Villeneuve & Lacaille. Avec plus de 20 000 pieds carrés de superficie, la maison de commerce dispose d’une surface gigantesque pour mener son commerce de gros. Oeuvrant sous diverses raisons sociales, pour finalement s’appeler Lacaille & Gendreau vers 1904, l’entreprise occupe les magasins-entrepôts jusqu’en 1931. Aussitôt partie, elle est remplacée par une autre firme de grossistes en alimentation : la compagnie D. C. Brosseau. Elle y demeure jusqu’en 1961 et cède sa place à l’important manufacturier de chaussures Alfred Lambert Inc. 

Au milieu des années 1970, le projet des cours le Royer prend forme alors que des promoteurs proposent de recycler une bonne partie des magasins-entrepôts de l'Hôtel-Dieu en copropriétés résidentielles et commerciales. À la fin de l’année 1975, la Société immobilière des cours Le Royer acquiert la propriété à cette fin. Les travaux débutent en 1977 et l’immeuble accueille ses premiers résidants au début de l’année 1978. Le succès des cours Le Royer influencera grandement le développement du Vieux-Montréal.",1873,1874,-73.5543,45.5054
0040-53-3985-00,Maison-magasin François-Perrin,maison-magasin,9,9-11,rue,11,,Saint-Paul,Ouest,Ville-Marie (Montréal),"Cette maison-magasin est construite en 1835. Au cours des années 1830-1831, François Perrin acquiert cet emplacement situé sur la rue Saint-Paul, enfermé de deux côtés par les clôtures des terrains de la Congrégation Notre-Dame et de l'Hôtel-Dieu, avec une maison en pierre d’un étage. Le 31 janvier 1835, Perrin conclut un marché avec Charles Larceneur, maître maçon, pour ériger une maison en pierre grise de trois étages avec, en arrière du côté est, une aile en brique de la même hauteur, le tout selon les plans des entrepreneurs Trudeau et Grenier. Une fois terminé, le bâtiment se prête à des usages multiples, selon les besoins des locataires. En 1838, par exemple, un doreur loue une partie de l’immeuble comprenant un magasin au rez-de-chaussée et un logement aux étages supérieurs, tandis que l’autre partie est utilisée par deux chapeliers associés qui n’occupent que deux magasins avec une chambre en arrière et une autre dans la cave et par un <i>gentilhomme</i> qui s’installe dans le logement en haut de huit pièces.

L'immeuble continue d’être employé à des fins commerciale et résidentielle jusqu’en 1850. Cette année-là, George Weekes, syndic de la faillite de François Perrin, vend l'immeuble à Jacob Henry Joseph qui le possèdera près de 60 ans. Pendant ce temps, la maison-magasin est essentiellement occupée par des firmes de marchands, notamment des marchands de tabac pendant vingt ans, dont l'entreprise de Joseph. Le bâtiment est vendu par la succession Joseph en 1921 à Gustave Francq, imprimeur. L'année suivante, il est loué à la Mercantile Printing Company dont Francq est le président. Cette compagnie devient propriétaire des lieux en 1957. Entre-temps, l’immeuble est agrandi : un ajout d’un étage à l’arrière recouvre entièrement la cour. Depuis 1978, une galerie et un atelier d’art graphique en est le propriétaire-occupant.",1835,,-73.5541,45.5054
0040-53-4497-00,Magasin-entrepôt Masson I,magasin-entrepôt,1,1-3,rue,3,,Saint-Paul,Ouest,Ville-Marie (Montréal),"En 1854, Edward Wilson entreprend la construction de ce magasin-entrepôt. En juillet de la même année, il vend le lot à Ann Tracey, épouse de Charles Wilson. Ce dernier est alors l'administrateur des biens de Ann Tracey puisqu'elle lui a signé une procuration générale en août 1853. C'est donc vraisemblablement lui qui poursuit et complète les travaux. Le bâtiment constitue alors l’extrémité Ouest d’une série de cinq magasins-entrepôts. Ces cinq nouveaux bâtiments remplacent plusieurs bâtiments de pierre ayant accueilli auparavant principalement des commerces, mais aussi des habitations. 

Le premier occupant du magasin-entrepôt est l’entreprise Galibert & Frères, marchands de vin et de cuir. La compagnie achète le bâtiment de Ann Tracey en 1855 et l’occupe pendant dix ans, jusqu’en 1866. Après son départ, des marchands de <i>dry goods</i> (tissus, articles de mercerie et peut-être d'autres produits) et un fabricant de souliers occupent l’espace à tour de rôle jusqu’au milieu des années 1890. Le bâtiment sera ensuite occupé durant environ soixante ans par un fabricant et marchand de brosses et balais. En 1913, les travaux entrepris après l’ouverture du boulevard Saint-Laurent vers le port permettent aux propriétaires, la famille Masson, d’y intégrer les restes du bâtiment voisin, partiellement démoli. C’est ce qui explique la présence d’un deuxième locataire, une taverne, après cette date. La taverne occupera une partie du magasin-entrepôt jusqu’au milieu des années 1960.

Dans les années 1970 et 1980, le bâtiment accueille une brasserie au rez-de-chaussée et les étages sont inoccupés. En 1991-1992, ont lieu des travaux qui transforment les étages en logements. Dans les années 1990, le rez-de-chaussée est occupé par un restaurant et les étages par trois résidences. La situation est la même en 2004.",1854,1855,-73.554,45.5055
0040-53-5827-00,Magasin-entrepôt Esprit-Généreux,magasin-entrepôt,40,40-50,rue,50,,Saint-Paul,Ouest,Ville-Marie (Montréal),"Cet immeuble est construit en 1886, vraisemblablement par l'architecte Michel Laurent. L'échevin Esprit A. Généreux achète d'abord le terrain en 1884 auprès des marchands John et Joseph Shuter. Deux ans plus tard, en mars 1886, un incendie détruit la plupart des bâtiments de la propriété. Généreux fait alors construire un nouveau magasin-entrepôt, lequel a trois étages sur la rue Saint-Paul et quatre étages sur la rue de la Commune.

Les premiers occupants sont les importateurs de vins et spiritueux Mongenais, Boivin et Cie et le grossiste de tissus et d'articles de mercerie (<i>dry goods</i>) Alphonse Racine. Leurs magasins sont sérieusement endommagés lors d'un incendie en avril 1893. Une partie des planchers s'effondre, provoquant la mort d'un pompier. 

Généreux vend l'immeuble en 1900 au grossiste de tissus, d'articles de mercerie et de produits divers (<i>dry goods</i>) Pierre-Paul Martin. En 1901, Martin engage l'architecte Alphonse Raza afin d'entreprendre un important programme de rénovations. C'est probablement à ce moment qu'on ajoute un étage à la partie de l'immeuble donnant sur la rue Saint-Paul. Vers 1909, on rehausse encore le bâtiment d'un étage, cette fois du côté de la rue de la Commune. La P. P. Martin et Cie occupe une bonne partie du magasin-entrepôt jusqu'au milieu des années 1930. En 1941, le bâtiment passe aux mains du fabricant et grossiste de chaussures Alfred Lambert Inc. Cette entreprise ou sa filiale vont occuper l'immeuble jusqu'au début des années 1980. 

Au milieu des années 1980, le bâtiment est converti en copropriétés, le rez-de-chaussée conservant toutefois sa fonction commerciale.",1886,,-73.5539,45.5049
0040-53-6443-00,Magasin-entrepôt Alfred-Larocque,magasin-entrepôt,34,34,rue,34,,Saint-Paul,Ouest,Ville-Marie (Montréal),"François Alfred Chartier Larocque fait construire en 1869 un magasin entrepôt de trois étages sur le côté sud de la rue Saint-Paul (l'édifice comporte quatre étages du côté de la rue de la Commune). L’édifice en pierre de taille sur trois côtés possède une toiture en gravier et ardoise et occupe toute la superficie du lot, contrairement au bâtiment précédent démoli quelques mois plus tôt et qui abritait deux logements au-dessus d’un commerce tenu par un marchand de vin.  Avec la construction du nouveau bâtiment, la volumétrie augmente et la fonction résidentielle disparaît.

François Alfred Larocque n’est, en 1869, que l’usufruitier du terrain, sa femme Marie Angélique Amélie Berthelet, décédée en 1856, ayant cédé par testament la nue-propriété à leurs trois enfants. Elle-même a reçu ce terrain de son père Antoine Olivier Berthelet, homme d’affaires, député, riche propriétaire foncier et époux de Marie Angélique Amélie Chaboillez. Antoine Olivier Berthelet est propriétaire du lot depuis 1823, l’ayant acquis en plusieurs transactions échelonnées sur plusieurs mois de divers membres de la famille d'Étienne Nivard Saint-Dizier.

En 1876, tous les biens hérités des Berthelet sont distribués par tirage au sort entre les trois enfants de François Alfred Larocque ; la propriété de la rue Saint-Paul revient à François Antoine Larocque. À la mort de ce dernier en 1905, la propriété est divisée à parts égales entre son fils et ses deux filles. En 1909, ces dernières achètent de leur frère sa part de 33 %, et conservent le terrain jusqu’en 1920.

François Alfred Larocque, son fils et ses trois petits-enfants n’occupent jamais cet immeuble. Le premier et seul locataire de 1870 à 1901 est le grossiste et importateur de tissus Thomas Thibaudeau and Co. (Thibaudeau Bros. Co. à partir de 1879). Cette entreprise est la propriété d'Alfred, Joseph Rosaire et Isidore Thibaudeau, hommes d’affaires, députés et sénateurs. De 1901 à 1916, l’édifice est occupé par Liddell Lespérance Co., puis par Stewart McDonald Ltd., également grossistes et importateurs de tissus.

En 1920, la famille Larocque vend la propriété à William E. McIntyre, lequel décède quelques années plus tard. En 1927, la succession McIntyre revend la propriété à la Dominion Manufacturers Ltd., un fabricant de cercueils. Le magasin entrepôt est immédiatement occupé en entier par Girard et Godin Ltée, une entreprise de Trois-Rivières spécialisée également dans la fabrication de cercueils et d’accessoires funéraires. Les liens entre le propriétaire et le locataire sont probablement très étroits, car le directeur de la Dominion Manufacturers Ltd. s’appelle H. E. Godin.

En 1970, la propriété est vendue à Alfred Lambert Ltée, une entreprise de bottes et chaussures en caoutchouc qui est déjà propriétaire des deux bâtiments adjacents et d’un troisième de l’autre côté de la rue Saint-Paul. En 1976, on retrouve comme locataire du magasin entrepôt une entreprise spécialisée dans le même domaine, soit la compagnie de bottes Acton.

La propriété est finalement vendue en janvier 1984 à Investissements Hofmusser, laquelle entreprend des travaux de rénovation non sans peine, malgré l’appui de subventions gouvernementales, et non sans changer de nom en cours de route. L’édifice est subdivisé en condominiums en août 1985, et tous vendus en quelques mois à 12 acheteurs allemands. En novembre 1988, ces derniers revendent leur condominium à une même compagnie à numéro, laquelle remet sur le marché montréalais les unités résidentielles (étages supérieurs) et les unités commerciales (rez-de-chaussée et sous-sol) actuellement occupées par des galeries d’art et des entreprises de design. Ironiquement, la disparition de la fonction d’entreposage en 1984 et son remplacement par une mixité de fonctions marque un retour à ce qui existait sur le lot avant 1869, avant la construction de l’actuel bâtiment.
",1869,,-73.5538,45.505
0040-53-7060-00,Immeuble Robert-Unwin-Harwood,non applicable,20,20-24,rue,24,,Saint-Paul,Ouest,Ville-Marie (Montréal),"Le quincaillier Robert Unwin Harwood fait construire cet immeuble en 1824-1825. Harwood achète en 1824 l'emplacement avec les ruines d'une maison et ses dépendances. Il engage Joseph Russell Bronsdon et George Cliff pour faire la charpenterie du nouvel immeuble comprenant une maison-magasin sur la rue Saint-Paul et un entrepôt longeant le côté est du lot jusqu'à la rue des Commissaires (rue de la Commune). La quincaillerie William Harwood & Company occupe la moitié est du bâtiment, alors que l'autre moitié est louée par le marchand James Connell. Une partie des étages de la maison-magasin sont occupés comme logement à l'instar de bâtiments semblables. 

Il semble que John Redpath, propriétaire de l'emplacement de 1832 à 1844, ou que le marchand Joseph Masson, propriétaire à compter de 1844, fasse rénover les façades de l'immeuble. Au milieu des années 1840, le bâtiment ne sert plus qu'au commerce et à l'entreposage. Masson y établit son magasin et ses bureaux. Il décède en 1847 et sa succession possède l'immeuble jusqu'en 1949. En 1853, une adjonction à l'angle nord-est de la rue des Commissaires et de la ruelle Saint-Dizier, construite selon les plans de l'architecte John Atkinson, vient agrandir l'immeuble. Des marchands occupent le bâtiment comme magasin et entrepôt notamment les importateurs de produits d'épicerie et de vins, D. Masson & Compagnie, pendant 37 ans. De 1912 à 1932, le bâtiment est l'hôte de l'entreprise McArthur Irvin Limited, fabricant de peinture et de vernis ainsi qu'importateur de produits chimiques. Entre 1917 et 1927, l'immeuble est agrandit pour couvrir le lot en entier et est coiffé d'un toit plat.

Le bâtiment conserve les mêmes fonctions de commerce et d'entreposage jusqu'en 1983 où il fait l'objet de travaux de restauration. Les magasins et les entrepôts sont convertis en commerces, en bureaux et en six unités de logements.     
",1824,1825,-73.5537,45.5052
0040-53-7677-01,Maison-magasin Elizabeth-Mittleberger-Platt,maison-magasin,12,12,rue,12,,Saint-Paul,Ouest,Ville-Marie (Montréal),"Élisabeth Mittleberger Platt fait construire cette maison-magasin en 1822-1823. La succession de George Platt, dont Mittleberger est l'exécutrice testamentaire, achète l'emplacement en juillet 1822, avec les ruines d'une maison et d'un entrepôt. L'entrepreneur Isaac Shay est engagé pour construire la maison-magasin et un entrepôt donnant sur la rue des Commissaires (de la Commune). La société de chimistes et d'apothicaires Joseph Beckett & Company devient la première locataire des deux bâtiments en mai 1823. L'immeuble de la rue Saint-Paul est utilisé à la fois à des fins commerciales et résidentielles : le rez-de-chaussée abrite le magasin et les étages du haut servent de logements à deux des trois associés de l'entreprise, John Jones Syms et Charles Wilson.  

Cette double vocation résidentielle et commerciale se maintient jusqu'au début des années 1860. Dans l'intervalle, le pharmacien John Carter et ses associés occupent la plus grande partie de ce bâtiment et de l'entrepôt, louant toutefois pour un temps un espace commercial dans la maison-magasin à un fabricant de brosses. Vers 1850, les bâtiments, propriété depuis 1841 d'Emma Mathilda Platt, épouse du docteur James Crawford, sont reliés par deux ailes en brique. 

L'épicier de gros Joseph Tiffin acquiert la propriété en 1862. L'entreprise familiale, connue sous le nom de Joseph Tiffin & Sons puis de Tiffin Brothers, occupe le bâtiment comme magasin et entrepôt jusqu'en 1891. Pendant plus de cinquante ans, l'immeuble est par la suite utilisé par l'entreprise William Middleton, compagnie qui après avoir œuvré dans le domaine de l'entreposage s'est spécialisée, à compter de 1917, dans la vente de paniers et d'articles en bois. 

Dès 1948, le rez-de-chaussée du bâtiment sert de restaurant. Des rénovations d'envergure sont entreprises en 1966 visant la consolidation du bâtiment. En 2004, l'immeuble abrite toujours un restaurant au rez-de-chaussée et des bureaux aux étages. 
",1822,1823,-73.5538,45.5053
